Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2012,1,0
1,África,África do Sul,Amazonas,2012,2,5
2,África,África do Sul,Amazonas,2012,3,9
3,África,África do Sul,Amazonas,2012,4,4
4,África,África do Sul,Amazonas,2012,5,1
5,África,África do Sul,Amazonas,2012,6,2
6,África,África do Sul,Amazonas,2012,7,0
7,África,África do Sul,Amazonas,2012,8,3
8,África,África do Sul,Amazonas,2012,9,1
9,África,África do Sul,Amazonas,2012,10,1
10,África,África do Sul,Amazonas,2012,11,1
11,África,África do Sul,Amazonas,2012,12,0
12,África,África do Sul,Bahia,2012,1,0
13,África,África do Sul,Bahia,2012,2,7
14,África,África do Sul,Bahia,2012,3,11
15,África,África do Sul,Bahia,2012,4,5
16,África,África do Sul,Bahia,2012,5,5
17,África,África do Sul,Bahia,2012,6,6
18,África,África do Sul,Bahia,2012,7,0
19,África,África do Sul,Bahia,2012,8,5
20,África,África do Sul,Bahia,2012,9,0
21,África,África do Sul,Bahia,2012,10,6
22,África,África do Sul,Bahia,2012,11,4
23,África,África do Sul,Bahia,2012,12,3
24,África,África do Sul,Ceará,2012,1,10
25,África,África do Sul,Ceará,2012,2,0
26,África,África do Sul,Ceará,2012,3,15
27,África,África do Sul,Ceará,2012,4,10
28,África,África do Sul,Ceará,2012,5,8
29,África,África do Sul,Ceará,2012,6,0
30,África,África do Sul,Ceará,2012,7,0
31,África,África do Sul,Ceará,2012,8,2
32,África,África do Sul,Ceará,2012,9,0
33,África,África do Sul,Ceará,2012,10,12
34,África,África do Sul,Ceará,2012,11,2
35,África,África do Sul,Ceará,2012,12,6
36,África,África do Sul,Distrito Federal,2012,1,1
37,África,África do Sul,Distrito Federal,2012,2,2
38,África,África do Sul,Distrito Federal,2012,3,7
39,África,África do Sul,Distrito Federal,2012,4,4
40,África,África do Sul,Distrito Federal,2012,5,1
41,África,África do Sul,Distrito Federal,2012,6,7
42,África,África do Sul,Distrito Federal,2012,7,0
43,África,África do Sul,Distrito Federal,2012,8,3
44,África,África do Sul,Distrito Federal,2012,9,3
45,África,África do Sul,Distrito Federal,2012,10,2
46,África,África do Sul,Distrito Federal,2012,11,15
47,África,África do Sul,Distrito Federal,2012,12,7
48,África,África do Sul,Mato Grosso do Sul,2012,1,4
49,África,África do Sul,Mato Grosso do Sul,2012,2,0
50,África,África do Sul,Mato Grosso do Sul,2012,3,1
51,África,África do Sul,Mato Grosso do Sul,2012,4,2
52,África,África do Sul,Mato Grosso do Sul,2012,5,2
53,África,África do Sul,Mato Grosso do Sul,2012,6,2
54,África,África do Sul,Mato Grosso do Sul,2012,7,2
55,África,África do Sul,Mato Grosso do Sul,2012,8,3
56,África,África do Sul,Mato Grosso do Sul,2012,9,6
57,África,África do Sul,Mato Grosso do Sul,2012,10,1
58,África,África do Sul,Mato Grosso do Sul,2012,11,3
59,África,África do Sul,Mato Grosso do Sul,2012,12,8
60,África,África do Sul,Minas Gerais,2012,1,5
61,África,África do Sul,Minas Gerais,2012,2,0
62,África,África do Sul,Minas Gerais,2012,3,8
63,África,África do Sul,Minas Gerais,2012,4,6
64,África,África do Sul,Minas Gerais,2012,5,0
65,África,África do Sul,Minas Gerais,2012,6,5
66,África,África do Sul,Minas Gerais,2012,7,5
67,África,África do Sul,Minas Gerais,2012,8,17
68,África,África do Sul,Minas Gerais,2012,9,5
69,África,África do Sul,Minas Gerais,2012,10,6
70,África,África do Sul,Minas Gerais,2012,11,0
71,África,África do Sul,Minas Gerais,2012,12,6
72,África,África do Sul,Pará,2012,1,12
73,África,África do Sul,Pará,2012,2,2
74,África,África do Sul,Pará,2012,3,3
75,África,África do Sul,Pará,2012,4,0
76,África,África do Sul,Pará,2012,5,3
77,África,África do Sul,Pará,2012,6,1
78,África,África do Sul,Pará,2012,7,0
79,África,África do Sul,Pará,2012,8,0
80,África,África do Sul,Pará,2012,9,0
81,África,África do Sul,Pará,2012,10,0
82,África,África do Sul,Pará,2012,11,2
83,África,África do Sul,Pará,2012,12,0
84,África,África do Sul,Paraná,2012,1,160
85,África,África do Sul,Paraná,2012,2,100
86,África,África do Sul,Paraná,2012,3,91
87,África,África do Sul,Paraná,2012,4,97
88,África,África do Sul,Paraná,2012,5,96
89,África,África do Sul,Paraná,2012,6,60
90,África,África do Sul,Paraná,2012,7,112
