Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2009,1,8
1,África,África do Sul,Amazonas,2009,2,0
2,África,África do Sul,Amazonas,2009,3,1
3,África,África do Sul,Amazonas,2009,4,1
4,África,África do Sul,Amazonas,2009,5,2
5,África,África do Sul,Amazonas,2009,6,1
6,África,África do Sul,Amazonas,2009,7,1
7,África,África do Sul,Amazonas,2009,8,0
8,África,África do Sul,Amazonas,2009,9,5
9,África,África do Sul,Amazonas,2009,10,2
10,África,África do Sul,Amazonas,2009,11,2
11,África,África do Sul,Amazonas,2009,12,0
12,África,África do Sul,Bahia,2009,1,7
13,África,África do Sul,Bahia,2009,2,5
14,África,África do Sul,Bahia,2009,3,7
15,África,África do Sul,Bahia,2009,4,0
16,África,África do Sul,Bahia,2009,5,1
17,África,África do Sul,Bahia,2009,6,1
18,África,África do Sul,Bahia,2009,7,1
19,África,África do Sul,Bahia,2009,8,5
20,África,África do Sul,Bahia,2009,9,0
21,África,África do Sul,Bahia,2009,10,7
22,África,África do Sul,Bahia,2009,11,1
23,África,África do Sul,Bahia,2009,12,3
24,África,África do Sul,Ceará,2009,1,3
25,África,África do Sul,Ceará,2009,2,8
26,África,África do Sul,Ceará,2009,3,2
27,África,África do Sul,Ceará,2009,4,7
28,África,África do Sul,Ceará,2009,5,12
29,África,África do Sul,Ceará,2009,6,12
30,África,África do Sul,Ceará,2009,7,6
31,África,África do Sul,Ceará,2009,8,9
32,África,África do Sul,Ceará,2009,9,3
33,África,África do Sul,Ceará,2009,10,2
34,África,África do Sul,Ceará,2009,11,0
35,África,África do Sul,Ceará,2009,12,3
36,África,África do Sul,Distrito Federal,2009,1,5
37,África,África do Sul,Distrito Federal,2009,2,0
38,África,África do Sul,Distrito Federal,2009,3,1
39,África,África do Sul,Distrito Federal,2009,4,0
40,África,África do Sul,Distrito Federal,2009,5,0
41,África,África do Sul,Distrito Federal,2009,6,0
42,África,África do Sul,Distrito Federal,2009,7,0
43,África,África do Sul,Distrito Federal,2009,8,1
44,África,África do Sul,Distrito Federal,2009,9,10
45,África,África do Sul,Distrito Federal,2009,10,14
46,África,África do Sul,Distrito Federal,2009,11,0
47,África,África do Sul,Distrito Federal,2009,12,0
48,África,África do Sul,Mato Grosso do Sul,2009,1,0
49,África,África do Sul,Mato Grosso do Sul,2009,2,0
50,África,África do Sul,Mato Grosso do Sul,2009,3,11
51,África,África do Sul,Mato Grosso do Sul,2009,4,0
52,África,África do Sul,Mato Grosso do Sul,2009,5,0
53,África,África do Sul,Mato Grosso do Sul,2009,6,0
54,África,África do Sul,Mato Grosso do Sul,2009,7,0
55,África,África do Sul,Mato Grosso do Sul,2009,8,0
56,África,África do Sul,Mato Grosso do Sul,2009,9,0
57,África,África do Sul,Mato Grosso do Sul,2009,10,0
58,África,África do Sul,Mato Grosso do Sul,2009,11,0
59,África,África do Sul,Mato Grosso do Sul,2009,12,0
60,África,África do Sul,Minas Gerais,2009,1,5
61,África,África do Sul,Minas Gerais,2009,2,3
62,África,África do Sul,Minas Gerais,2009,3,5
63,África,África do Sul,Minas Gerais,2009,4,2
64,África,África do Sul,Minas Gerais,2009,5,0
65,África,África do Sul,Minas Gerais,2009,6,1
66,África,África do Sul,Minas Gerais,2009,7,0
67,África,África do Sul,Minas Gerais,2009,8,1
68,África,África do Sul,Minas Gerais,2009,9,2
69,África,África do Sul,Minas Gerais,2009,10,3
70,África,África do Sul,Minas Gerais,2009,11,2
71,África,África do Sul,Minas Gerais,2009,12,0
72,África,África do Sul,Pará,2009,1,8
73,África,África do Sul,Pará,2009,2,9
74,África,África do Sul,Pará,2009,3,0
75,África,África do Sul,Pará,2009,4,1
76,África,África do Sul,Pará,2009,5,0
77,África,África do Sul,Pará,2009,6,1
78,África,África do Sul,Pará,2009,7,9
79,África,África do Sul,Pará,2009,8,0
80,África,África do Sul,Pará,2009,9,0
81,África,África do Sul,Pará,2009,10,1
82,África,África do Sul,Pará,2009,11,0
83,África,África do Sul,Pará,2009,12,1
84,África,África do Sul,Paraná,2009,1,73
85,África,África do Sul,Paraná,2009,2,47
86,África,África do Sul,Paraná,2009,3,63
87,África,África do Sul,Paraná,2009,4,107
88,África,África do Sul,Paraná,2009,5,78
89,África,África do Sul,Paraná,2009,6,85
90,África,África do Sul,Paraná,2009,7,64
91,África,África do Sul,Paraná,2009,8,77
92,África,África do Sul,Paraná,2009,9,78
93,África,África do Sul,Paraná,2009,10,94
94,África,África do Sul,Paraná,2009,11,77
95,África,África do Sul,Paraná,2009,12,221
96,África,África do Sul,Pernambuco,2009,1,2
97,África,África do Sul,Pernambuco,2009,2,1
98,África,África do Sul,Pernambuco,2009,3,0
99,África,África do Sul,Pernambuco,2009,4,1
100,África,África do Sul,Pernambuco,2009,5,7
101,África,África do Sul,Pernambuco,2009,6,1
102,África,África do Sul,Pernambuco,2009,7,1
103,África,África do Sul,Pernambuco,2009,8,8
104,África,África do Sul,Pernambuco,2009,9,1
105,África,África do Sul,Pernambuco,2009,10,2
106,África,África do Sul,Pernambuco,2009,11,1
107,África,África do Sul,Pernambuco,2009,12,0
108,África,África do Sul,Rio de Janeiro,2009,1,143
109,África,África do Sul,Rio de Janeiro,2009,2,92
110,África,África do Sul,Rio de Janeiro,2009,3,75
111,África,África do Sul,Rio de Janeiro,2009,4,84
112,África,África do Sul,Rio de Janeiro,2009,5,80
113,África,África do Sul,Rio de Janeiro,2009,6,50
114,África,África do Sul,Rio de Janeiro,2009,7,132
115,África,África do Sul,Rio de Janeiro,2009,8,71
116,África,África do Sul,Rio de Janeiro,2009,9,107
117,África,África do Sul,Rio de Janeiro,2009,10,157
118,África,África do Sul,Rio de Janeiro,2009,11,92
119,África,África do Sul,Rio de Janeiro,2009,12,255
120,África,África do Sul,Rio Grande do Norte,2009,1,0
121,África,África do Sul,Rio Grande do Norte,2009,2,0
122,África,África do Sul,Rio Grande do Norte,2009,3,0
123,África,África do Sul,Rio Grande do Norte,2009,4,6
124,África,África do Sul,Rio Grande do Norte,2009,5,45
125,África,África do Sul,Rio Grande do Norte,2009,6,0
126,África,África do Sul,Rio Grande do Norte,2009,7,0
127,África,África do Sul,Rio Grande do Norte,2009,8,0
128,África,África do Sul,Rio Grande do Norte,2009,9,0
129,África,África do Sul,Rio Grande do Norte,2009,10,0
130,África,África do Sul,Rio Grande do Norte,2009,11,10
131,África,África do Sul,Rio Grande do Norte,2009,12,5
132,África,África do Sul,Rio Grande do Sul,2009,1,25
133,África,África do Sul,Rio Grande do Sul,2009,2,0
134,África,África do Sul,Rio Grande do Sul,2009,3,2
135,África,África do Sul,Rio Grande do Sul,2009,4,17
136,África,África do Sul,Rio Grande do Sul,2009,5,6
137,África,África do Sul,Rio Grande do Sul,2009,6,0
138,África,África do Sul,Rio Grande do Sul,2009,7,4
139,África,África do Sul,Rio Grande do Sul,2009,8,4
140,África,África do Sul,Rio Grande do Sul,2009,9,14
141,África,África do Sul,Rio Grande do Sul,2009,10,163
142,África,África do Sul,Rio Grande do Sul,2009,11,10
143,África,África do Sul,Rio Grande do Sul,2009,12,35
144,África,África do Sul,Santa Catarina,2009,1,2
145,África,África do Sul,Santa Catarina,2009,2,8
146,África,África do Sul,Santa Catarina,2009,3,15
147,África,África do Sul,Santa Catarina,2009,4,0
148,África,África do Sul,Santa Catarina,2009,5,1
149,África,África do Sul,Santa Catarina,2009,6,0
150,África,África do Sul,Santa Catarina,2009,7,0
151,África,África do Sul,Santa Catarina,2009,8,1
152,África,África do Sul,Santa Catarina,2009,9,0
153,África,África do Sul,Santa Catarina,2009,10,0
154,África,África do Sul,Santa Catarina,2009,11,0
155,África,África do Sul,Santa Catarina,2009,12,0
156,África,África do Sul,São Paulo,2009,1,2386
157,África,África do Sul,São Paulo,2009,2,1534
158,África,África do Sul,São Paulo,2009,3,1674
159,África,África do Sul,São Paulo,2009,4,1483
160,África,África do Sul,São Paulo,2009,5,2054
161,África,África do Sul,São Paulo,2009,6,1184
162,África,África do Sul,São Paulo,2009,7,1541
163,África,África do Sul,São Paulo,2009,8,1305
164,África,África do Sul,São Paulo,2009,9,1705
165,África,África do Sul,São Paulo,2009,10,2028
166,África,África do Sul,São Paulo,2009,11,1556
167,África,África do Sul,São Paulo,2009,12,1628
168,África,África do Sul,Outras UFs,2009,1,0
169,África,África do Sul,Outras UFs,2009,2,28
170,África,África do Sul,Outras UFs,2009,3,0
171,África,África do Sul,Outras UFs,2009,4,2
172,África,África do Sul,Outras UFs,2009,5,0
173,África,África do Sul,Outras UFs,2009,6,0
174,África,África do Sul,Outras UFs,2009,7,0
175,África,África do Sul,Outras UFs,2009,8,0
176,África,África do Sul,Outras UFs,2009,9,0
177,África,África do Sul,Outras UFs,2009,10,0
178,África,África do Sul,Outras UFs,2009,11,0
179,África,África do Sul,Outras UFs,2009,12,0
180,África,Angola,Amazonas,2009,1,0
181,África,Angola,Amazonas,2009,2,0
182,África,Angola,Amazonas,2009,3,1
