Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2011,1,2
1,África,África do Sul,Amazonas,2011,2,4
2,África,África do Sul,Amazonas,2011,3,5
3,África,África do Sul,Amazonas,2011,4,2
4,África,África do Sul,Amazonas,2011,5,1
5,África,África do Sul,Amazonas,2011,6,1
6,África,África do Sul,Amazonas,2011,7,7
7,África,África do Sul,Amazonas,2011,8,1
8,África,África do Sul,Amazonas,2011,9,5
9,África,África do Sul,Amazonas,2011,10,2
10,África,África do Sul,Amazonas,2011,11,0
11,África,África do Sul,Amazonas,2011,12,11
12,África,África do Sul,Bahia,2011,1,98
13,África,África do Sul,Bahia,2011,2,1
14,África,África do Sul,Bahia,2011,3,6
15,África,África do Sul,Bahia,2011,4,5
16,África,África do Sul,Bahia,2011,5,2
17,África,África do Sul,Bahia,2011,6,0
18,África,África do Sul,Bahia,2011,7,1
19,África,África do Sul,Bahia,2011,8,1
20,África,África do Sul,Bahia,2011,9,0
21,África,África do Sul,Bahia,2011,10,1
22,África,África do Sul,Bahia,2011,11,4
23,África,África do Sul,Bahia,2011,12,12
24,África,África do Sul,Ceará,2011,1,0
25,África,África do Sul,Ceará,2011,2,9
26,África,África do Sul,Ceará,2011,3,0
27,África,África do Sul,Ceará,2011,4,9
28,África,África do Sul,Ceará,2011,5,11
29,África,África do Sul,Ceará,2011,6,1
30,África,África do Sul,Ceará,2011,7,6
31,África,África do Sul,Ceará,2011,8,6
32,África,África do Sul,Ceará,2011,9,3
33,África,África do Sul,Ceará,2011,10,1
34,África,África do Sul,Ceará,2011,11,10
35,África,África do Sul,Ceará,2011,12,9
36,África,África do Sul,Distrito Federal,2011,1,6
37,África,África do Sul,Distrito Federal,2011,2,4
38,África,África do Sul,Distrito Federal,2011,3,11
39,África,África do Sul,Distrito Federal,2011,4,1
40,África,África do Sul,Distrito Federal,2011,5,1
41,África,África do Sul,Distrito Federal,2011,6,2
42,África,África do Sul,Distrito Federal,2011,7,6
43,África,África do Sul,Distrito Federal,2011,8,2
44,África,África do Sul,Distrito Federal,2011,9,1
45,África,África do Sul,Distrito Federal,2011,10,1
46,África,África do Sul,Distrito Federal,2011,11,2
47,África,África do Sul,Distrito Federal,2011,12,10
48,África,África do Sul,Mato Grosso do Sul,2011,1,5
49,África,África do Sul,Mato Grosso do Sul,2011,2,0
50,África,África do Sul,Mato Grosso do Sul,2011,3,0
51,África,África do Sul,Mato Grosso do Sul,2011,4,1
52,África,África do Sul,Mato Grosso do Sul,2011,5,0
53,África,África do Sul,Mato Grosso do Sul,2011,6,1
54,África,África do Sul,Mato Grosso do Sul,2011,7,0
55,África,África do Sul,Mato Grosso do Sul,2011,8,0
56,África,África do Sul,Mato Grosso do Sul,2011,9,0
57,África,África do Sul,Mato Grosso do Sul,2011,10,2
58,África,África do Sul,Mato Grosso do Sul,2011,11,0
59,África,África do Sul,Mato Grosso do Sul,2011,12,0
60,África,África do Sul,Minas Gerais,2011,1,6
61,África,África do Sul,Minas Gerais,2011,2,7
62,África,África do Sul,Minas Gerais,2011,3,0
63,África,África do Sul,Minas Gerais,2011,4,7
64,África,África do Sul,Minas Gerais,2011,5,6
65,África,África do Sul,Minas Gerais,2011,6,0
66,África,África do Sul,Minas Gerais,2011,7,1
67,África,África do Sul,Minas Gerais,2011,8,1
68,África,África do Sul,Minas Gerais,2011,9,6
69,África,África do Sul,Minas Gerais,2011,10,7
70,África,África do Sul,Minas Gerais,2011,11,12
71,África,África do Sul,Minas Gerais,2011,12,0
72,África,África do Sul,Pará,2011,1,3
73,África,África do Sul,Pará,2011,2,1
74,África,África do Sul,Pará,2011,3,0
75,África,África do Sul,Pará,2011,4,0
76,África,África do Sul,Pará,2011,5,0
77,África,África do Sul,Pará,2011,6,3
78,África,África do Sul,Pará,2011,7,3
79,África,África do Sul,Pará,2011,8,0
80,África,África do Sul,Pará,2011,9,3
81,África,África do Sul,Pará,2011,10,0
82,África,África do Sul,Pará,2011,11,0
83,África,África do Sul,Pará,2011,12,3
84,África,África do Sul,Paraná,2011,1,87
85,África,África do Sul,Paraná,2011,2,60
86,África,África do Sul,Paraná,2011,3,83
87,África,África do Sul,Paraná,2011,4,91
88,África,África do Sul,Paraná,2011,5,48
89,África,África do Sul,Paraná,2011,6,33
90,África,África do Sul,Paraná,2011,7,48
91,África,África do Sul,Paraná,2011,8,36
92,África,África do Sul,Paraná,2011,9,62
93,África,África do Sul,Paraná,2011,10,82
94,África,África do Sul,Paraná,2011,11,60
95,África,África do Sul,Paraná,2011,12,236
96,África,África do Sul,Pernambuco,2011,1,0
97,África,África do Sul,Pernambuco,2011,2,4
98,África,África do Sul,Pernambuco,2011,3,8
99,África,África do Sul,Pernambuco,2011,4,8
100,África,África do Sul,Pernambuco,2011,5,5
101,África,África do Sul,Pernambuco,2011,6,1
102,África,África do Sul,Pernambuco,2011,7,4
103,África,África do Sul,Pernambuco,2011,8,9
104,África,África do Sul,Pernambuco,2011,9,1
105,África,África do Sul,Pernambuco,2011,10,1
106,África,África do Sul,Pernambuco,2011,11,12
107,África,África do Sul,Pernambuco,2011,12,31
108,África,África do Sul,Rio de Janeiro,2011,1,127
109,África,África do Sul,Rio de Janeiro,2011,2,158
110,África,África do Sul,Rio de Janeiro,2011,3,126
111,África,África do Sul,Rio de Janeiro,2011,4,183
112,África,África do Sul,Rio de Janeiro,2011,5,113
113,África,África do Sul,Rio de Janeiro,2011,6,86
114,África,África do Sul,Rio de Janeiro,2011,7,174
115,África,África do Sul,Rio de Janeiro,2011,8,87
116,África,África do Sul,Rio de Janeiro,2011,9,117
117,África,África do Sul,Rio de Janeiro,2011,10,122
118,África,África do Sul,Rio de Janeiro,2011,11,134
119,África,África do Sul,Rio de Janeiro,2011,12,360
120,África,África do Sul,Rio Grande do Norte,2011,1,0
121,África,África do Sul,Rio Grande do Norte,2011,2,0
122,África,África do Sul,Rio Grande do Norte,2011,3,0
123,África,África do Sul,Rio Grande do Norte,2011,4,0
124,África,África do Sul,Rio Grande do Norte,2011,5,5
125,África,África do Sul,Rio Grande do Norte,2011,6,0
126,África,África do Sul,Rio Grande do Norte,2011,7,0
127,África,África do Sul,Rio Grande do Norte,2011,8,1
128,África,África do Sul,Rio Grande do Norte,2011,9,1
129,África,África do Sul,Rio Grande do Norte,2011,10,0
