Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2010,1,3
1,África,África do Sul,Amazonas,2010,2,3
2,África,África do Sul,Amazonas,2010,3,3
3,África,África do Sul,Amazonas,2010,4,0
4,África,África do Sul,Amazonas,2010,5,1
5,África,África do Sul,Amazonas,2010,6,0
6,África,África do Sul,Amazonas,2010,7,5
7,África,África do Sul,Amazonas,2010,8,0
8,África,África do Sul,Amazonas,2010,9,0
9,África,África do Sul,Amazonas,2010,10,0
10,África,África do Sul,Amazonas,2010,11,1
11,África,África do Sul,Amazonas,2010,12,5
12,África,África do Sul,Bahia,2010,1,6
13,África,África do Sul,Bahia,2010,2,3
14,África,África do Sul,Bahia,2010,3,13
15,África,África do Sul,Bahia,2010,4,4
16,África,África do Sul,Bahia,2010,5,1
17,África,África do Sul,Bahia,2010,6,11
18,África,África do Sul,Bahia,2010,7,0
19,África,África do Sul,Bahia,2010,8,3
20,África,África do Sul,Bahia,2010,9,5
21,África,África do Sul,Bahia,2010,10,12
22,África,África do Sul,Bahia,2010,11,2
23,África,África do Sul,Bahia,2010,12,10
24,África,África do Sul,Ceará,2010,1,4
25,África,África do Sul,Ceará,2010,2,4
26,África,África do Sul,Ceará,2010,3,18
27,África,África do Sul,Ceará,2010,4,1
28,África,África do Sul,Ceará,2010,5,0
29,África,África do Sul,Ceará,2010,6,6
30,África,África do Sul,Ceará,2010,7,6
31,África,África do Sul,Ceará,2010,8,6
32,África,África do Sul,Ceará,2010,9,9
33,África,África do Sul,Ceará,2010,10,3
34,África,África do Sul,Ceará,2010,11,3
35,África,África do Sul,Ceará,2010,12,9
36,África,África do Sul,Distrito Federal,2010,1,0
37,África,África do Sul,Distrito Federal,2010,2,0
38,África,África do Sul,Distrito Federal,2010,3,3
39,África,África do Sul,Distrito Federal,2010,4,4
40,África,África do Sul,Distrito Federal,2010,5,5
41,África,África do Sul,Distrito Federal,2010,6,0
42,África,África do Sul,Distrito Federal,2010,7,3
43,África,África do Sul,Distrito Federal,2010,8,8
44,África,África do Sul,Distrito Federal,2010,9,3
45,África,África do Sul,Distrito Federal,2010,10,3
46,África,África do Sul,Distrito Federal,2010,11,0
47,África,África do Sul,Distrito Federal,2010,12,0
48,África,África do Sul,Mato Grosso do Sul,2010,1,0
49,África,África do Sul,Mato Grosso do Sul,2010,2,0
50,África,África do Sul,Mato Grosso do Sul,2010,3,9
51,África,África do Sul,Mato Grosso do Sul,2010,4,2
52,África,África do Sul,Mato Grosso do Sul,2010,5,0
53,África,África do Sul,Mato Grosso do Sul,2010,6,0
54,África,África do Sul,Mato Grosso do Sul,2010,7,0
