Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2013,1,0
1,África,África do Sul,Amazonas,2013,2,0
2,África,África do Sul,Amazonas,2013,3,0
3,África,África do Sul,Amazonas,2013,4,4
4,África,África do Sul,Amazonas,2013,5,3
5,África,África do Sul,Amazonas,2013,6,1
6,África,África do Sul,Amazonas,2013,7,0
7,África,África do Sul,Amazonas,2013,8,0
8,África,África do Sul,Amazonas,2013,9,1
9,África,África do Sul,Amazonas,2013,10,3
10,África,África do Sul,Amazonas,2013,11,1
11,África,África do Sul,Amazonas,2013,12,4
12,África,África do Sul,Bahia,2013,1,0
13,África,África do Sul,Bahia,2013,2,1
14,África,África do Sul,Bahia,2013,3,0
15,África,África do Sul,Bahia,2013,4,4
16,África,África do Sul,Bahia,2013,5,0
17,África,África do Sul,Bahia,2013,6,0
18,África,África do Sul,Bahia,2013,7,0
19,África,África do Sul,Bahia,2013,8,0
20,África,África do Sul,Bahia,2013,9,5
21,África,África do Sul,Bahia,2013,10,1
22,África,África do Sul,Bahia,2013,11,5
23,África,África do Sul,Bahia,2013,12,11
24,África,África do Sul,Ceará,2013,1,1
25,África,África do Sul,Ceará,2013,2,2
26,África,África do Sul,Ceará,2013,3,1
27,África,África do Sul,Ceará,2013,4,24
28,África,África do Sul,Ceará,2013,5,8
29,África,África do Sul,Ceará,2013,6,1
30,África,África do Sul,Ceará,2013,7,4
31,África,África do Sul,Ceará,2013,8,4
32,África,África do Sul,Ceará,2013,9,0
33,África,África do Sul,Ceará,2013,10,1
34,África,África do Sul,Ceará,2013,11,3
35,África,África do Sul,Ceará,2013,12,0
36,África,África do Sul,Distrito Federal,2013,1,3
37,África,África do Sul,Distrito Federal,2013,2,3
38,África,África do Sul,Distrito Federal,2013,3,4
39,África,África do Sul,Distrito Federal,2013,4,3
40,África,África do Sul,Distrito Federal,2013,5,6
41,África,África do Sul,Distrito Federal,2013,6,3
42,África,África do Sul,Distrito Federal,2013,7,3
43,África,África do Sul,Distrito Federal,2013,8,9
44,África,África do Sul,Distrito Federal,2013,9,3
45,África,África do Sul,Distrito Federal,2013,10,8
46,África,África do Sul,Distrito Federal,2013,11,4
47,África,África do Sul,Distrito Federal,2013,12,9
48,África,África do Sul,Mato Grosso do Sul,2013,1,2
49,África,África do Sul,Mato Grosso do Sul,2013,2,0
50,África,África do Sul,Mato Grosso do Sul,2013,3,1
51,África,África do Sul,Mato Grosso do Sul,2013,4,0
52,África,África do Sul,Mato Grosso do Sul,2013,5,4
53,África,África do Sul,Mato Grosso do Sul,2013,6,3
54,África,África do Sul,Mato Grosso do Sul,2013,7,1
55,África,África do Sul,Mato Grosso do Sul,2013,8,2
56,África,África do Sul,Mato Grosso do Sul,2013,9,1
57,África,África do Sul,Mato Grosso do Sul,2013,10,1
58,África,África do Sul,Mato Grosso do Sul,2013,11,1
59,África,África do Sul,Mato Grosso do Sul,2013,12,2
60,África,África do Sul,Minas Gerais,2013,1,0
61,África,África do Sul,Minas Gerais,2013,2,6
62,África,África do Sul,Minas Gerais,2013,3,1
63,África,África do Sul,Minas Gerais,2013,4,6
64,África,África do Sul,Minas Gerais,2013,5,7
65,África,África do Sul,Minas Gerais,2013,6,7
66,África,África do Sul,Minas Gerais,2013,7,7
67,África,África do Sul,Minas Gerais,2013,8,6
68,África,África do Sul,Minas Gerais,2013,9,7
69,África,África do Sul,Minas Gerais,2013,10,1
70,África,África do Sul,Minas Gerais,2013,11,6
71,África,África do Sul,Minas Gerais,2013,12,4
72,África,África do Sul,Pará,2013,1,3
73,África,África do Sul,Pará,2013,2,0
74,África,África do Sul,Pará,2013,3,2
75,África,África do Sul,Pará,2013,4,0
76,África,África do Sul,Pará,2013,5,0
77,África,África do Sul,Pará,2013,6,0
78,África,África do Sul,Pará,2013,7,0
79,África,África do Sul,Pará,2013,8,3
80,África,África do Sul,Pará,2013,9,0
81,África,África do Sul,Pará,2013,10,0
82,África,África do Sul,Pará,2013,11,0
83,África,África do Sul,Pará,2013,12,0
84,África,África do Sul,Paraná,2013,1,192
85,África,África do Sul,Paraná,2013,2,90
86,África,África do Sul,Paraná,2013,3,93
87,África,África do Sul,Paraná,2013,4,140
88,África,África do Sul,Paraná,2013,5,78
89,África,África do Sul,Paraná,2013,6,47
90,África,África do Sul,Paraná,2013,7,67
91,África,África do Sul,Paraná,2013,8,61
92,África,África do Sul,Paraná,2013,9,78
93,África,África do Sul,Paraná,2013,10,67
94,África,África do Sul,Paraná,2013,11,100
95,África,África do Sul,Paraná,2013,12,199
96,África,África do Sul,Pernambuco,2013,1,6
97,África,África do Sul,Pernambuco,2013,2,0
98,África,África do Sul,Pernambuco,2013,3,4
99,África,África do Sul,Pernambuco,2013,4,1
100,África,África do Sul,Pernambuco,2013,5,4
101,África,África do Sul,Pernambuco,2013,6,0
102,África,África do Sul,Pernambuco,2013,7,3
103,África,África do Sul,Pernambuco,2013,8,0
104,África,África do Sul,Pernambuco,2013,9,1
105,África,África do Sul,Pernambuco,2013,10,0
106,África,África do Sul,Pernambuco,2013,11,9
107,África,África do Sul,Pernambuco,2013,12,8
108,África,África do Sul,Rio de Janeiro,2013,1,94
109,África,África do Sul,Rio de Janeiro,2013,2,158
110,África,África do Sul,Rio de Janeiro,2013,3,136
111,África,África do Sul,Rio de Janeiro,2013,4,120
112,África,África do Sul,Rio de Janeiro,2013,5,118
113,África,África do Sul,Rio de Janeiro,2013,6,151
114,África,África do Sul,Rio de Janeiro,2013,7,127
115,África,África do Sul,Rio de Janeiro,2013,8,106
116,África,África do Sul,Rio de Janeiro,2013,9,110
117,África,África do Sul,Rio de Janeiro,2013,10,117
118,África,África do Sul,Rio de Janeiro,2013,11,86
119,África,África do Sul,Rio de Janeiro,2013,12,257
120,África,África do Sul,Rio Grande do Norte,2013,1,0
121,África,África do Sul,Rio Grande do Norte,2013,2,0
122,África,África do Sul,Rio Grande do Norte,2013,3,1
123,África,África do Sul,Rio Grande do Norte,2013,4,1
124,África,África do Sul,Rio Grande do Norte,2013,5,0
125,África,África do Sul,Rio Grande do Norte,2013,6,0
126,África,África do Sul,Rio Grande do Norte,2013,7,1
127,África,África do Sul,Rio Grande do Norte,2013,8,0
128,África,África do Sul,Rio Grande do Norte,2013,9,0
129,África,África do Sul,Rio Grande do Norte,2013,10,0
130,África,África do Sul,Rio Grande do Norte,2013,11,0
131,África,África do Sul,Rio Grande do Norte,2013,12,0
