Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Acre,2015,1,2
1,África,África do Sul,Acre,2015,2,0
2,África,África do Sul,Acre,2015,3,1
3,África,África do Sul,Acre,2015,4,1
4,África,África do Sul,Acre,2015,5,0
5,África,África do Sul,Acre,2015,6,0
6,África,África do Sul,Acre,2015,7,1
7,África,África do Sul,Acre,2015,8,1
8,África,África do Sul,Acre,2015,9,0
9,África,África do Sul,Acre,2015,10,0
10,África,África do Sul,Acre,2015,11,0
11,África,África do Sul,Acre,2015,12,0
12,África,África do Sul,Amapá,2015,1,2
13,África,África do Sul,Amapá,2015,2,1
14,África,África do Sul,Amapá,2015,3,0
15,África,África do Sul,Amapá,2015,4,0
16,África,África do Sul,Amapá,2015,5,0
17,África,África do Sul,Amapá,2015,6,0
18,África,África do Sul,Amapá,2015,7,1
19,África,África do Sul,Amapá,2015,8,0
20,África,África do Sul,Amapá,2015,9,0
21,África,África do Sul,Amapá,2015,10,0
22,África,África do Sul,Amapá,2015,11,0
23,África,África do Sul,Amapá,2015,12,6
24,África,África do Sul,Amazonas,2015,1,2
25,África,África do Sul,Amazonas,2015,2,3
26,África,África do Sul,Amazonas,2015,3,5
27,África,África do Sul,Amazonas,2015,4,3
28,África,África do Sul,Amazonas,2015,5,7
29,África,África do Sul,Amazonas,2015,6,5
30,África,África do Sul,Amazonas,2015,7,12
31,África,África do Sul,Amazonas,2015,8,1
32,África,África do Sul,Amazonas,2015,9,1
33,África,África do Sul,Amazonas,2015,10,3
34,África,África do Sul,Amazonas,2015,11,7
35,África,África do Sul,Amazonas,2015,12,1
36,África,África do Sul,Bahia,2015,1,0
37,África,África do Sul,Bahia,2015,2,8
38,África,África do Sul,Bahia,2015,3,3
39,África,África do Sul,Bahia,2015,4,0
40,África,África do Sul,Bahia,2015,5,1
41,África,África do Sul,Bahia,2015,6,1
42,África,África do Sul,Bahia,2015,7,0
43,África,África do Sul,Bahia,2015,8,1
44,África,África do Sul,Bahia,2015,9,1
45,África,África do Sul,Bahia,2015,10,2
46,África,África do Sul,Bahia,2015,11,2
47,África,África do Sul,Bahia,2015,12,3
48,África,África do Sul,Ceará,2015,1,2
49,África,África do Sul,Ceará,2015,2,0
50,África,África do Sul,Ceará,2015,3,3
51,África,África do Sul,Ceará,2015,4,0
52,África,África do Sul,Ceará,2015,5,0
53,África,África do Sul,Ceará,2015,6,0
54,África,África do Sul,Ceará,2015,7,2
55,África,África do Sul,Ceará,2015,8,3
56,África,África do Sul,Ceará,2015,9,2
57,África,África do Sul,Ceará,2015,10,6
58,África,África do Sul,Ceará,2015,11,5
59,África,África do Sul,Ceará,2015,12,17
60,África,África do Sul,Distrito Federal,2015,1,4
61,África,África do Sul,Distrito Federal,2015,2,4
62,África,África do Sul,Distrito Federal,2015,3,14
63,África,África do Sul,Distrito Federal,2015,4,10
64,África,África do Sul,Distrito Federal,2015,5,8
