Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Acre,2016,1,1
1,África,África do Sul,Acre,2016,2,0
2,África,África do Sul,Acre,2016,3,1
3,África,África do Sul,Acre,2016,4,1
4,África,África do Sul,Acre,2016,5,0
5,África,África do Sul,Acre,2016,6,3
6,África,África do Sul,Acre,2016,7,2
7,África,África do Sul,Acre,2016,8,0
8,África,África do Sul,Acre,2016,9,1
9,África,África do Sul,Acre,2016,10,0
10,África,África do Sul,Acre,2016,11,1
11,África,África do Sul,Acre,2016,12,4
12,África,África do Sul,Amapá,2016,1,0
13,África,África do Sul,Amapá,2016,2,3
14,África,África do Sul,Amapá,2016,3,0
15,África,África do Sul,Amapá,2016,4,0
16,África,África do Sul,Amapá,2016,5,0
17,África,África do Sul,Amapá,2016,6,0
18,África,África do Sul,Amapá,2016,7,0
19,África,África do Sul,Amapá,2016,8,0
20,África,África do Sul,Amapá,2016,9,0
21,África,África do Sul,Amapá,2016,10,0
22,África,África do Sul,Amapá,2016,11,1
23,África,África do Sul,Amapá,2016,12,0
24,África,África do Sul,Amazonas,2016,1,2
25,África,África do Sul,Amazonas,2016,2,3
26,África,África do Sul,Amazonas,2016,3,2
27,África,África do Sul,Amazonas,2016,4,1
28,África,África do Sul,Amazonas,2016,5,2
29,África,África do Sul,Amazonas,2016,6,6
30,África,África do Sul,Amazonas,2016,7,11
31,África,África do Sul,Amazonas,2016,8,4
32,África,África do Sul,Amazonas,2016,9,5
33,África,África do Sul,Amazonas,2016,10,3
34,África,África do Sul,Amazonas,2016,11,8
35,África,África do Sul,Amazonas,2016,12,6
36,África,África do Sul,Bahia,2016,1,3
37,África,África do Sul,Bahia,2016,2,2
38,África,África do Sul,Bahia,2016,3,2
39,África,África do Sul,Bahia,2016,4,1
40,África,África do Sul,Bahia,2016,5,0
41,África,África do Sul,Bahia,2016,6,0
42,África,África do Sul,Bahia,2016,7,0
43,África,África do Sul,Bahia,2016,8,1
44,África,África do Sul,Bahia,2016,9,1
45,África,África do Sul,Bahia,2016,10,0
46,África,África do Sul,Bahia,2016,11,2
47,África,África do Sul,Bahia,2016,12,0
48,África,África do Sul,Ceará,2016,1,4
49,África,África do Sul,Ceará,2016,2,0
50,África,África do Sul,Ceará,2016,3,2
51,África,África do Sul,Ceará,2016,4,3
52,África,África do Sul,Ceará,2016,5,2
53,África,África do Sul,Ceará,2016,6,0
54,África,África do Sul,Ceará,2016,7,6
55,África,África do Sul,Ceará,2016,8,5
56,África,África do Sul,Ceará,2016,9,2
57,África,África do Sul,Ceará,2016,10,5
58,África,África do Sul,Ceará,2016,11,5
59,África,África do Sul,Ceará,2016,12,0
60,África,África do Sul,Distrito Federal,2016,1,5
61,África,África do Sul,Distrito Federal,2016,2,1
62,África,África do Sul,Distrito Federal,2016,3,2
63,África,África do Sul,Distrito Federal,2016,4,2
64,África,África do Sul,Distrito Federal,2016,5,0
65,África,África do Sul,Distrito Federal,2016,6,2
66,África,África do Sul,Distrito Federal,2016,7,1
67,África,África do Sul,Distrito Federal,2016,8,1
68,África,África do Sul,Distrito Federal,2016,9,1
69,África,África do Sul,Distrito Federal,2016,10,13
70,África,África do Sul,Distrito Federal,2016,11,5
71,África,África do Sul,Distrito Federal,2016,12,5
72,África,África do Sul,Mato Grosso do Sul,2016,1,5
73,África,África do Sul,Mato Grosso do Sul,2016,2,1
74,África,África do Sul,Mato Grosso do Sul,2016,3,1
75,África,África do Sul,Mato Grosso do Sul,2016,4,0
76,África,África do Sul,Mato Grosso do Sul,2016,5,10
77,África,África do Sul,Mato Grosso do Sul,2016,6,0
78,África,África do Sul,Mato Grosso do Sul,2016,7,0
79,África,África do Sul,Mato Grosso do Sul,2016,8,0
80,África,África do Sul,Mato Grosso do Sul,2016,9,1
81,África,África do Sul,Mato Grosso do Sul,2016,10,5
82,África,África do Sul,Mato Grosso do Sul,2016,11,3
83,África,África do Sul,Mato Grosso do Sul,2016,12,1
84,África,África do Sul,Minas Gerais,2016,1,6
85,África,África do Sul,Minas Gerais,2016,2,8
86,África,África do Sul,Minas Gerais,2016,3,4
87,África,África do Sul,Minas Gerais,2016,4,4
88,África,África do Sul,Minas Gerais,2016,5,0
89,África,África do Sul,Minas Gerais,2016,6,4
90,África,África do Sul,Minas Gerais,2016,7,2
91,África,África do Sul,Minas Gerais,2016,8,2
92,África,África do Sul,Minas Gerais,2016,9,4
93,África,África do Sul,Minas Gerais,2016,10,0
94,África,África do Sul,Minas Gerais,2016,11,2
95,África,África do Sul,Minas Gerais,2016,12,4
96,África,África do Sul,Pará,2016,1,1
97,África,África do Sul,Pará,2016,2,0
98,África,África do Sul,Pará,2016,3,0
99,África,África do Sul,Pará,2016,4,0
100,África,África do Sul,Pará,2016,5,2
101,África,África do Sul,Pará,2016,6,0
102,África,África do Sul,Pará,2016,7,0
103,África,África do Sul,Pará,2016,8,29
104,África,África do Sul,Pará,2016,9,2
105,África,África do Sul,Pará,2016,10,3
106,África,África do Sul,Pará,2016,11,0
107,África,África do Sul,Pará,2016,12,0
108,África,África do Sul,Paraná,2016,1,137
109,África,África do Sul,Paraná,2016,2,44
110,África,África do Sul,Paraná,2016,3,46
111,África,África do Sul,Paraná,2016,4,72
112,África,África do Sul,Paraná,2016,5,44
113,África,África do Sul,Paraná,2016,6,45
114,África,África do Sul,Paraná,2016,7,53
115,África,África do Sul,Paraná,2016,8,112
116,África,África do Sul,Paraná,2016,9,79
117,África,África do Sul,Paraná,2016,10,59
118,África,África do Sul,Paraná,2016,11,43
