Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Acre,2014,1,0
1,África,África do Sul,Acre,2014,2,0
2,África,África do Sul,Acre,2014,3,0
3,África,África do Sul,Acre,2014,4,0
4,África,África do Sul,Acre,2014,5,0
5,África,África do Sul,Acre,2014,6,0
6,África,África do Sul,Acre,2014,7,0
7,África,África do Sul,Acre,2014,8,0
8,África,África do Sul,Acre,2014,9,0
9,África,África do Sul,Acre,2014,10,0
10,África,África do Sul,Acre,2014,11,0
11,África,África do Sul,Acre,2014,12,0
12,África,África do Sul,Amapá,2014,1,0
13,África,África do Sul,Amapá,2014,2,0
14,África,África do Sul,Amapá,2014,3,0
15,África,África do Sul,Amapá,2014,4,0
16,África,África do Sul,Amapá,2014,5,5
17,África,África do Sul,Amapá,2014,6,0
18,África,África do Sul,Amapá,2014,7,0
19,África,África do Sul,Amapá,2014,8,0
20,África,África do Sul,Amapá,2014,9,0
21,África,África do Sul,Amapá,2014,10,2
22,África,África do Sul,Amapá,2014,11,1
23,África,África do Sul,Amapá,2014,12,8
24,África,África do Sul,Amazonas,2014,1,0
25,África,África do Sul,Amazonas,2014,2,0
26,África,África do Sul,Amazonas,2014,3,0
27,África,África do Sul,Amazonas,2014,4,2
28,África,África do Sul,Amazonas,2014,5,6
29,África,África do Sul,Amazonas,2014,6,2
30,África,África do Sul,Amazonas,2014,7,0
31,África,África do Sul,Amazonas,2014,8,0
32,África,África do Sul,Amazonas,2014,9,2
33,África,África do Sul,Amazonas,2014,10,4
34,África,África do Sul,Amazonas,2014,11,1
35,África,África do Sul,Amazonas,2014,12,10
36,África,África do Sul,Bahia,2014,1,0
37,África,África do Sul,Bahia,2014,2,2
38,África,África do Sul,Bahia,2014,3,0
39,África,África do Sul,Bahia,2014,4,2
40,África,África do Sul,Bahia,2014,5,0
41,África,África do Sul,Bahia,2014,6,0
42,África,África do Sul,Bahia,2014,7,0
43,África,África do Sul,Bahia,2014,8,0
44,África,África do Sul,Bahia,2014,9,4
45,África,África do Sul,Bahia,2014,10,1
46,África,África do Sul,Bahia,2014,11,7
47,África,África do Sul,Bahia,2014,12,4
48,África,África do Sul,Ceará,2014,1,0
49,África,África do Sul,Ceará,2014,2,0
50,África,África do Sul,Ceará,2014,3,1
51,África,África do Sul,Ceará,2014,4,0
52,África,África do Sul,Ceará,2014,5,0
53,África,África do Sul,Ceará,2014,6,0
54,África,África do Sul,Ceará,2014,7,42
55,África,África do Sul,Ceará,2014,8,1
56,África,África do Sul,Ceará,2014,9,0
57,África,África do Sul,Ceará,2014,10,0
58,África,África do Sul,Ceará,2014,11,10
59,África,África do Sul,Ceará,2014,12,0
60,África,África do Sul,Distrito Federal,2014,1,3
61,África,África do Sul,Distrito Federal,2014,2,3
62,África,África do Sul,Distrito Federal,2014,3,1
63,África,África do Sul,Distrito Federal,2014,4,6
64,África,África do Sul,Distrito Federal,2014,5,6
65,África,África do Sul,Distrito Federal,2014,6,13
66,África,África do Sul,Distrito Federal,2014,7,10
67,África,África do Sul,Distrito Federal,2014,8,6
68,África,África do Sul,Distrito Federal,2014,9,4
69,África,África do Sul,Distrito Federal,2014,10,8
70,África,África do Sul,Distrito Federal,2014,11,1
71,África,África do Sul,Distrito Federal,2014,12,10
72,África,África do Sul,Mato Grosso do Sul,2014,1,2
73,África,África do Sul,Mato Grosso do Sul,2014,2,0
74,África,África do Sul,Mato Grosso do Sul,2014,3,1
75,África,África do Sul,Mato Grosso do Sul,2014,4,0
76,África,África do Sul,Mato Grosso do Sul,2014,5,1
77,África,África do Sul,Mato Grosso do Sul,2014,6,3
78,África,África do Sul,Mato Grosso do Sul,2014,7,1
79,África,África do Sul,Mato Grosso do Sul,2014,8,1
80,África,África do Sul,Mato Grosso do Sul,2014,9,1
81,África,África do Sul,Mato Grosso do Sul,2014,10,0
82,África,África do Sul,Mato Grosso do Sul,2014,11,0
83,África,África do Sul,Mato Grosso do Sul,2014,12,0
84,África,África do Sul,Minas Gerais,2014,1,0
85,África,África do Sul,Minas Gerais,2014,2,1
86,África,África do Sul,Minas Gerais,2014,3,1
87,África,África do Sul,Minas Gerais,2014,4,6
88,África,África do Sul,Minas Gerais,2014,5,3
89,África,África do Sul,Minas Gerais,2014,6,6
90,África,África do Sul,Minas Gerais,2014,7,4
91,África,África do Sul,Minas Gerais,2014,8,1
92,África,África do Sul,Minas Gerais,2014,9,4
93,África,África do Sul,Minas Gerais,2014,10,1
94,África,África do Sul,Minas Gerais,2014,11,0
95,África,África do Sul,Minas Gerais,2014,12,0
96,África,África do Sul,Pará,2014,1,0
97,África,África do Sul,Pará,2014,2,0
98,África,África do Sul,Pará,2014,3,0
99,África,África do Sul,Pará,2014,4,0
100,África,África do Sul,Pará,2014,5,0
101,África,África do Sul,Pará,2014,6,0
102,África,África do Sul,Pará,2014,7,0
103,África,África do Sul,Pará,2014,8,0
104,África,África do Sul,Pará,2014,9,0
105,África,África do Sul,Pará,2014,10,0
106,África,África do Sul,Pará,2014,11,0
107,África,África do Sul,Pará,2014,12,0
108,África,África do Sul,Paraná,2014,1,135
109,África,África do Sul,Paraná,2014,2,74
110,África,África do Sul,Paraná,2014,3,113
111,África,África do Sul,Paraná,2014,4,182
112,África,África do Sul,Paraná,2014,5,69
113,África,África do Sul,Paraná,2014,6,55
114,África,África do Sul,Paraná,2014,7,193
115,África,África do Sul,Paraná,2014,8,48
116,África,África do Sul,Paraná,2014,9,53
117,África,África do Sul,Paraná,2014,10,101
118,África,África do Sul,Paraná,2014,11,95
119,África,África do Sul,Paraná,2014,12,372
120,África,África do Sul,Pernambuco,2014,1,0
121,África,África do Sul,Pernambuco,2014,2,0
122,África,África do Sul,Pernambuco,2014,3,2
123,África,África do Sul,Pernambuco,2014,4,0
124,África,África do Sul,Pernambuco,2014,5,0
125,África,África do Sul,Pernambuco,2014,6,0
126,África,África do Sul,Pernambuco,2014,7,6
127,África,África do Sul,Pernambuco,2014,8,0
128,África,África do Sul,Pernambuco,2014,9,2
129,África,África do Sul,Pernambuco,2014,10,0
130,África,África do Sul,Pernambuco,2014,11,0
131,África,África do Sul,Pernambuco,2014,12,2
132,África,África do Sul,Rio de Janeiro,2014,1,174
133,África,África do Sul,Rio de Janeiro,2014,2,140
