"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2013";"Janeiro";"0"
"África";"África do Sul";"Amazonas";"2013";"Fevereiro";"0"
"África";"África do Sul";"Amazonas";"2013";"Março";"0"
"África";"África do Sul";"Amazonas";"2013";"Abril";"4"
"África";"África do Sul";"Amazonas";"2013";"Maio";"3"
"África";"África do Sul";"Amazonas";"2013";"Junho";"1"
"África";"África do Sul";"Amazonas";"2013";"Julho";"0"
"África";"África do Sul";"Amazonas";"2013";"Agosto";"0"
"África";"África do Sul";"Amazonas";"2013";"Setembro";"1"
"África";"África do Sul";"Amazonas";"2013";"Outubro";"3"
"África";"África do Sul";"Amazonas";"2013";"Novembro";"1"
"África";"África do Sul";"Amazonas";"2013";"Dezembro";"4"
"África";"África do Sul";"Bahia";"2013";"Janeiro";"0"
"África";"África do Sul";"Bahia";"2013";"Fevereiro";"1"
"África";"África do Sul";"Bahia";"2013";"Março";"0"
"África";"África do Sul";"Bahia";"2013";"Abril";"4"
"África";"África do Sul";"Bahia";"2013";"Maio";"0"
"África";"África do Sul";"Bahia";"2013";"Junho";"0"
"África";"África do Sul";"Bahia";"2013";"Julho";"0"
"África";"África do Sul";"Bahia";"2013";"Agosto";"0"
"África";"África do Sul";"Bahia";"2013";"Setembro";"5"
"África";"África do Sul";"Bahia";"2013";"Outubro";"1"
"África";"África do Sul";"Bahia";"2013";"Novembro";"5"
"África";"África do Sul";"Bahia";"2013";"Dezembro";"11"
"África";"África do Sul";"Ceará";"2013";"Janeiro";"1"
"África";"África do Sul";"Ceará";"2013";"Fevereiro";"2"
"África";"África do Sul";"Ceará";"2013";"Março";"1"
"África";"África do Sul";"Ceará";"2013";"Abril";"24"
"África";"África do Sul";"Ceará";"2013";"Maio";"8"
"África";"África do Sul";"Ceará";"2013";"Junho";"1"
"África";"África do Sul";"Ceará";"2013";"Julho";"4"
"África";"África do Sul";"Ceará";"2013";"Agosto";"4"
"África";"África do Sul";"Ceará";"2013";"Setembro";"0"
"África";"África do Sul";"Ceará";"2013";"Outubro";"1"
"África";"África do Sul";"Ceará";"2013";"Novembro";"3"
"África";"África do Sul";"Ceará";"2013";"Dezembro";"0"
"África";"África do Sul";"Distrito Federal";"2013";"Janeiro";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Fevereiro";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Março";"4"
"África";"África do Sul";"Distrito Federal";"2013";"Abril";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Maio";"6"
"África";"África do Sul";"Distrito Federal";"2013";"Junho";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Julho";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Agosto";"9"
"África";"África do Sul";"Distrito Federal";"2013";"Setembro";"3"
"África";"África do Sul";"Distrito Federal";"2013";"Outubro";"8"
"África";"África do Sul";"Distrito Federal";"2013";"Novembro";"4"
"África";"África do Sul";"Distrito Federal";"2013";"Dezembro";"9"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Janeiro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Março";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Maio";"4"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Junho";"3"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Julho";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Agosto";"2"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Setembro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Outubro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Novembro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2013";"Dezembro";"2"
"África";"África do Sul";"Minas Gerais";"2013";"Janeiro";"0"
"África";"África do Sul";"Minas Gerais";"2013";"Fevereiro";"6"
"África";"África do Sul";"Minas Gerais";"2013";"Março";"1"
"África";"África do Sul";"Minas Gerais";"2013";"Abril";"6"
"África";"África do Sul";"Minas Gerais";"2013";"Maio";"7"
"África";"África do Sul";"Minas Gerais";"2013";"Junho";"7"
"África";"África do Sul";"Minas Gerais";"2013";"Julho";"7"
"África";"África do Sul";"Minas Gerais";"2013";"Agosto";"6"
"África";"África do Sul";"Minas Gerais";"2013";"Setembro";"7"
"África";"África do Sul";"Minas Gerais";"2013";"Outubro";"1"
"África";"África do Sul";"Minas Gerais";"2013";"Novembro";"6"
"África";"África do Sul";"Minas Gerais";"2013";"Dezembro";"4"
"África";"África do Sul";"Pará";"2013";"Janeiro";"3"
"África";"África do Sul";"Pará";"2013";"Fevereiro";"0"
"África";"África do Sul";"Pará";"2013";"Março";"2"
"África";"África do Sul";"Pará";"2013";"Abril";"0"
"África";"África do Sul";"Pará";"2013";"Maio";"0"
"África";"África do Sul";"Pará";"2013";"Junho";"0"
"África";"África do Sul";"Pará";"2013";"Julho";"0"
"África";"África do Sul";"Pará";"2013";"Agosto";"3"
"África";"África do Sul";"Pará";"2013";"Setembro";"0"
"África";"África do Sul";"Pará";"2013";"Outubro";"0"
"África";"África do Sul";"Pará";"2013";"Novembro";"0"
"África";"África do Sul";"Pará";"2013";"Dezembro";"0"
"África";"África do Sul";"Paraná";"2013";"Janeiro";"192"
"África";"África do Sul";"Paraná";"2013";"Fevereiro";"90"
"África";"África do Sul";"Paraná";"2013";"Março";"93"
"África";"África do Sul";"Paraná";"2013";"Abril";"140"
"África";"África do Sul";"Paraná";"2013";"Maio";"78"
"África";"África do Sul";"Paraná";"2013";"Junho";"47"
"África";"África do Sul";"Paraná";"2013";"Julho";"67"
"África";"África do Sul";"Paraná";"2013";"Agosto";"61"
"África";"África do Sul";"Paraná";"2013";"Setembro";"78"
