"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Acre";"2015";"Janeiro";"2"
"África";"África do Sul";"Acre";"2015";"Fevereiro";"0"
"África";"África do Sul";"Acre";"2015";"Março";"1"
"África";"África do Sul";"Acre";"2015";"Abril";"1"
"África";"África do Sul";"Acre";"2015";"Maio";"0"
"África";"África do Sul";"Acre";"2015";"Junho";"0"
"África";"África do Sul";"Acre";"2015";"Julho";"1"
"África";"África do Sul";"Acre";"2015";"Agosto";"1"
"África";"África do Sul";"Acre";"2015";"Setembro";"0"
"África";"África do Sul";"Acre";"2015";"Outubro";"0"
"África";"África do Sul";"Acre";"2015";"Novembro";"0"
"África";"África do Sul";"Acre";"2015";"Dezembro";"0"
"África";"África do Sul";"Amapá";"2015";"Janeiro";"2"
"África";"África do Sul";"Amapá";"2015";"Fevereiro";"1"
"África";"África do Sul";"Amapá";"2015";"Março";"0"
"África";"África do Sul";"Amapá";"2015";"Abril";"0"
"África";"África do Sul";"Amapá";"2015";"Maio";"0"
"África";"África do Sul";"Amapá";"2015";"Junho";"0"
"África";"África do Sul";"Amapá";"2015";"Julho";"1"
"África";"África do Sul";"Amapá";"2015";"Agosto";"0"
"África";"África do Sul";"Amapá";"2015";"Setembro";"0"
"África";"África do Sul";"Amapá";"2015";"Outubro";"0"
"África";"África do Sul";"Amapá";"2015";"Novembro";"0"
"África";"África do Sul";"Amapá";"2015";"Dezembro";"6"
"África";"África do Sul";"Amazonas";"2015";"Janeiro";"2"
"África";"África do Sul";"Amazonas";"2015";"Fevereiro";"3"
"África";"África do Sul";"Amazonas";"2015";"Março";"5"
"África";"África do Sul";"Amazonas";"2015";"Abril";"3"
"África";"África do Sul";"Amazonas";"2015";"Maio";"7"
"África";"África do Sul";"Amazonas";"2015";"Junho";"5"
"África";"África do Sul";"Amazonas";"2015";"Julho";"12"
"África";"África do Sul";"Amazonas";"2015";"Agosto";"1"
"África";"África do Sul";"Amazonas";"2015";"Setembro";"1"
"África";"África do Sul";"Amazonas";"2015";"Outubro";"3"
"África";"África do Sul";"Amazonas";"2015";"Novembro";"7"
"África";"África do Sul";"Amazonas";"2015";"Dezembro";"1"
"África";"África do Sul";"Bahia";"2015";"Janeiro";"0"
"África";"África do Sul";"Bahia";"2015";"Fevereiro";"8"
"África";"África do Sul";"Bahia";"2015";"Março";"3"
"África";"África do Sul";"Bahia";"2015";"Abril";"0"
"África";"África do Sul";"Bahia";"2015";"Maio";"1"
"África";"África do Sul";"Bahia";"2015";"Junho";"1"
"África";"África do Sul";"Bahia";"2015";"Julho";"0"
"África";"África do Sul";"Bahia";"2015";"Agosto";"1"
"África";"África do Sul";"Bahia";"2015";"Setembro";"1"
"África";"África do Sul";"Bahia";"2015";"Outubro";"2"
"África";"África do Sul";"Bahia";"2015";"Novembro";"2"
"África";"África do Sul";"Bahia";"2015";"Dezembro";"3"
"África";"África do Sul";"Ceará";"2015";"Janeiro";"2"
"África";"África do Sul";"Ceará";"2015";"Fevereiro";"0"
"África";"África do Sul";"Ceará";"2015";"Março";"3"
"África";"África do Sul";"Ceará";"2015";"Abril";"0"
"África";"África do Sul";"Ceará";"2015";"Maio";"0"
"África";"África do Sul";"Ceará";"2015";"Junho";"0"
"África";"África do Sul";"Ceará";"2015";"Julho";"2"
"África";"África do Sul";"Ceará";"2015";"Agosto";"3"
"África";"África do Sul";"Ceará";"2015";"Setembro";"2"
"África";"África do Sul";"Ceará";"2015";"Outubro";"6"
"África";"África do Sul";"Ceará";"2015";"Novembro";"5"
"África";"África do Sul";"Ceará";"2015";"Dezembro";"17"
"África";"África do Sul";"Distrito Federal";"2015";"Janeiro";"4"
"África";"África do Sul";"Distrito Federal";"2015";"Fevereiro";"4"
"África";"África do Sul";"Distrito Federal";"2015";"Março";"14"
"África";"África do Sul";"Distrito Federal";"2015";"Abril";"10"
"África";"África do Sul";"Distrito Federal";"2015";"Maio";"8"
"África";"África do Sul";"Distrito Federal";"2015";"Junho";"12"
"África";"África do Sul";"Distrito Federal";"2015";"Julho";"4"
"África";"África do Sul";"Distrito Federal";"2015";"Agosto";"8"
"África";"África do Sul";"Distrito Federal";"2015";"Setembro";"6"
"África";"África do Sul";"Distrito Federal";"2015";"Outubro";"6"
"África";"África do Sul";"Distrito Federal";"2015";"Novembro";"14"
"África";"África do Sul";"Distrito Federal";"2015";"Dezembro";"8"
"África";"África do Sul";"Mato Grosso do Sul";"2015";"Janeiro";"3"
"África";"África do Sul";"Mato Grosso do Sul";"2015";"Fevereiro";"3"
"África";"África do Sul";"Mato Grosso do Sul";"2015";"Março";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2015";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2015";"Maio";"0"
