"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2012";"Janeiro";"0"
"África";"África do Sul";"Amazonas";"2012";"Fevereiro";"5"
"África";"África do Sul";"Amazonas";"2012";"Março";"9"
"África";"África do Sul";"Amazonas";"2012";"Abril";"4"
"África";"África do Sul";"Amazonas";"2012";"Maio";"1"
"África";"África do Sul";"Amazonas";"2012";"Junho";"2"
"África";"África do Sul";"Amazonas";"2012";"Julho";"0"
"África";"África do Sul";"Amazonas";"2012";"Agosto";"3"
"África";"África do Sul";"Amazonas";"2012";"Setembro";"1"
"África";"África do Sul";"Amazonas";"2012";"Outubro";"1"
"África";"África do Sul";"Amazonas";"2012";"Novembro";"1"
"África";"África do Sul";"Amazonas";"2012";"Dezembro";"0"
"África";"África do Sul";"Bahia";"2012";"Janeiro";"0"
"África";"África do Sul";"Bahia";"2012";"Fevereiro";"7"
"África";"África do Sul";"Bahia";"2012";"Março";"11"
"África";"África do Sul";"Bahia";"2012";"Abril";"5"
"África";"África do Sul";"Bahia";"2012";"Maio";"5"
"África";"África do Sul";"Bahia";"2012";"Junho";"6"
"África";"África do Sul";"Bahia";"2012";"Julho";"0"
"África";"África do Sul";"Bahia";"2012";"Agosto";"5"
"África";"África do Sul";"Bahia";"2012";"Setembro";"0"
"África";"África do Sul";"Bahia";"2012";"Outubro";"6"
"África";"África do Sul";"Bahia";"2012";"Novembro";"4"
"África";"África do Sul";"Bahia";"2012";"Dezembro";"3"
"África";"África do Sul";"Ceará";"2012";"Janeiro";"10"
"África";"África do Sul";"Ceará";"2012";"Fevereiro";"0"
"África";"África do Sul";"Ceará";"2012";"Março";"15"
"África";"África do Sul";"Ceará";"2012";"Abril";"10"
"África";"África do Sul";"Ceará";"2012";"Maio";"8"
"África";"África do Sul";"Ceará";"2012";"Junho";"0"
"África";"África do Sul";"Ceará";"2012";"Julho";"0"
"África";"África do Sul";"Ceará";"2012";"Agosto";"2"
"África";"África do Sul";"Ceará";"2012";"Setembro";"0"
"África";"África do Sul";"Ceará";"2012";"Outubro";"12"
"África";"África do Sul";"Ceará";"2012";"Novembro";"2"
"África";"África do Sul";"Ceará";"2012";"Dezembro";"6"
"África";"África do Sul";"Distrito Federal";"2012";"Janeiro";"1"
"África";"África do Sul";"Distrito Federal";"2012";"Fevereiro";"2"
"África";"África do Sul";"Distrito Federal";"2012";"Março";"7"
"África";"África do Sul";"Distrito Federal";"2012";"Abril";"4"
"África";"África do Sul";"Distrito Federal";"2012";"Maio";"1"
"África";"África do Sul";"Distrito Federal";"2012";"Junho";"7"
"África";"África do Sul";"Distrito Federal";"2012";"Julho";"0"
"África";"África do Sul";"Distrito Federal";"2012";"Agosto";"3"
"África";"África do Sul";"Distrito Federal";"2012";"Setembro";"3"
"África";"África do Sul";"Distrito Federal";"2012";"Outubro";"2"
"África";"África do Sul";"Distrito Federal";"2012";"Novembro";"15"
"África";"África do Sul";"Distrito Federal";"2012";"Dezembro";"7"
"África";"África do Sul";"Mato Grosso do Sul";"2012";"Janeiro";"4"
"África";"África do Sul";"Mato Grosso do Sul";"2012";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2012";"Março";"1"
