"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2008";"Janeiro";"19"
"África";"África do Sul";"Amazonas";"2008";"Fevereiro";"0"
"África";"África do Sul";"Amazonas";"2008";"Março";"1"
"África";"África do Sul";"Amazonas";"2008";"Abril";"1"
"África";"África do Sul";"Amazonas";"2008";"Maio";"4"
"África";"África do Sul";"Amazonas";"2008";"Junho";"2"
"África";"África do Sul";"Amazonas";"2008";"Julho";"12"
"África";"África do Sul";"Amazonas";"2008";"Agosto";"0"
"África";"África do Sul";"Amazonas";"2008";"Setembro";"4"
"África";"África do Sul";"Amazonas";"2008";"Outubro";"0"
"África";"África do Sul";"Amazonas";"2008";"Novembro";"7"
"África";"África do Sul";"Amazonas";"2008";"Dezembro";"3"
"África";"África do Sul";"Bahia";"2008";"Janeiro";"7"
"África";"África do Sul";"Bahia";"2008";"Fevereiro";"1"
"África";"África do Sul";"Bahia";"2008";"Março";"13"
"África";"África do Sul";"Bahia";"2008";"Abril";"5"
"África";"África do Sul";"Bahia";"2008";"Maio";"4"
"África";"África do Sul";"Bahia";"2008";"Junho";"3"
"África";"África do Sul";"Bahia";"2008";"Julho";"10"
"África";"África do Sul";"Bahia";"2008";"Agosto";"12"
"África";"África do Sul";"Bahia";"2008";"Setembro";"4"
"África";"África do Sul";"Bahia";"2008";"Outubro";"3"
"África";"África do Sul";"Bahia";"2008";"Novembro";"0"
"África";"África do Sul";"Bahia";"2008";"Dezembro";"3"
"África";"África do Sul";"Ceará";"2008";"Janeiro";"257"
"África";"África do Sul";"Ceará";"2008";"Fevereiro";"419"
"África";"África do Sul";"Ceará";"2008";"Março";"97"
"África";"África do Sul";"Ceará";"2008";"Abril";"1"
"África";"África do Sul";"Ceará";"2008";"Maio";"1"
"África";"África do Sul";"Ceará";"2008";"Junho";"166"
"África";"África do Sul";"Ceará";"2008";"Julho";"4"
"África";"África do Sul";"Ceará";"2008";"Agosto";"105"
"África";"África do Sul";"Ceará";"2008";"Setembro";"61"
"África";"África do Sul";"Ceará";"2008";"Outubro";"70"
"África";"África do Sul";"Ceará";"2008";"Novembro";"6"
"África";"África do Sul";"Ceará";"2008";"Dezembro";"1"
"África";"África do Sul";"Distrito Federal";"2008";"Janeiro";"6"
"África";"África do Sul";"Distrito Federal";"2008";"Fevereiro";"0"
"África";"África do Sul";"Distrito Federal";"2008";"Março";"0"
"África";"África do Sul";"Distrito Federal";"2008";"Abril";"2"
"África";"África do Sul";"Distrito Federal";"2008";"Maio";"3"
"África";"África do Sul";"Distrito Federal";"2008";"Junho";"2"
"África";"África do Sul";"Distrito Federal";"2008";"Julho";"1"
"África";"África do Sul";"Distrito Federal";"2008";"Agosto";"5"
"África";"África do Sul";"Distrito Federal";"2008";"Setembro";"5"
"África";"África do Sul";"Distrito Federal";"2008";"Outubro";"7"
"África";"África do Sul";"Distrito Federal";"2008";"Novembro";"3"
"África";"África do Sul";"Distrito Federal";"2008";"Dezembro";"7"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Janeiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Março";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Maio";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Junho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Julho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Agosto";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Setembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Outubro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Novembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2008";"Dezembro";"0"
"África";"África do Sul";"Minas Gerais";"2008";"Janeiro";"1"
"África";"África do Sul";"Minas Gerais";"2008";"Fevereiro";"0"
"África";"África do Sul";"Minas Gerais";"2008";"Março";"5"
"África";"África do Sul";"Minas Gerais";"2008";"Abril";"2"
"África";"África do Sul";"Minas Gerais";"2008";"Maio";"1"
"África";"África do Sul";"Minas Gerais";"2008";"Junho";"0"
"África";"África do Sul";"Minas Gerais";"2008";"Julho";"4"
"África";"África do Sul";"Minas Gerais";"2008";"Agosto";"1"
"África";"África do Sul";"Minas Gerais";"2008";"Setembro";"5"
"África";"África do Sul";"Minas Gerais";"2008";"Outubro";"2"
"África";"África do Sul";"Minas Gerais";"2008";"Novembro";"3"
"África";"África do Sul";"Minas Gerais";"2008";"Dezembro";"1"
"África";"África do Sul";"Pará";"2008";"Janeiro";"6"
"África";"África do Sul";"Pará";"2008";"Fevereiro";"7"
"África";"África do Sul";"Pará";"2008";"Março";"6"
"África";"África do Sul";"Pará";"2008";"Abril";"2"
"África";"África do Sul";"Pará";"2008";"Maio";"5"
"África";"África do Sul";"Pará";"2008";"Junho";"0"
"África";"África do Sul";"Pará";"2008";"Julho";"0"
"África";"África do Sul";"Pará";"2008";"Agosto";"0"
"África";"África do Sul";"Pará";"2008";"Setembro";"0"
"África";"África do Sul";"Pará";"2008";"Outubro";"5"
"África";"África do Sul";"Pará";"2008";"Novembro";"4"
"África";"África do Sul";"Pará";"2008";"Dezembro";"12"
"África";"África do Sul";"Paraná";"2008";"Janeiro";"154"
"África";"África do Sul";"Paraná";"2008";"Fevereiro";"42"
"África";"África do Sul";"Paraná";"2008";"Março";"74"
"África";"África do Sul";"Paraná";"2008";"Abril";"89"
"África";"África do Sul";"Paraná";"2008";"Maio";"79"
"África";"África do Sul";"Paraná";"2008";"Junho";"74"
"África";"África do Sul";"Paraná";"2008";"Julho";"45"
"África";"África do Sul";"Paraná";"2008";"Agosto";"39"
"África";"África do Sul";"Paraná";"2008";"Setembro";"62"
"África";"África do Sul";"Paraná";"2008";"Outubro";"71"
"África";"África do Sul";"Paraná";"2008";"Novembro";"65"
"África";"África do Sul";"Paraná";"2008";"Dezembro";"120"
"África";"África do Sul";"Pernambuco";"2008";"Janeiro";"3"
"África";"África do Sul";"Pernambuco";"2008";"Fevereiro";"0"
"África";"África do Sul";"Pernambuco";"2008";"Março";"0"
"África";"África do Sul";"Pernambuco";"2008";"Abril";"0"
"África";"África do Sul";"Pernambuco";"2008";"Maio";"0"
"África";"África do Sul";"Pernambuco";"2008";"Junho";"1"
"África";"África do Sul";"Pernambuco";"2008";"Julho";"6"
"África";"África do Sul";"Pernambuco";"2008";"Agosto";"3"
"África";"África do Sul";"Pernambuco";"2008";"Setembro";"1"
"África";"África do Sul";"Pernambuco";"2008";"Outubro";"6"
"África";"África do Sul";"Pernambuco";"2008";"Novembro";"1"
"África";"África do Sul";"Pernambuco";"2008";"Dezembro";"15"
"África";"África do Sul";"Rio de Janeiro";"2008";"Janeiro";"165"
"África";"África do Sul";"Rio de Janeiro";"2008";"Fevereiro";"88"
"África";"África do Sul";"Rio de Janeiro";"2008";"Março";"153"
"África";"África do Sul";"Rio de Janeiro";"2008";"Abril";"120"
"África";"África do Sul";"Rio de Janeiro";"2008";"Maio";"53"
"África";"África do Sul";"Rio de Janeiro";"2008";"Junho";"90"
"África";"África do Sul";"Rio de Janeiro";"2008";"Julho";"67"
"África";"África do Sul";"Rio de Janeiro";"2008";"Agosto";"59"
"África";"África do Sul";"Rio de Janeiro";"2008";"Setembro";"90"
"África";"África do Sul";"Rio de Janeiro";"2008";"Outubro";"109"
"África";"África do Sul";"Rio de Janeiro";"2008";"Novembro";"89"
"África";"África do Sul";"Rio de Janeiro";"2008";"Dezembro";"198"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Janeiro";"2"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Fevereiro";"2"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Março";"1"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Abril";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Maio";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Junho";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Julho";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Agosto";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Setembro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Outubro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2008";"Novembro";"3"
