"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Acre";"2017";"Janeiro";"0"
"África";"África do Sul";"Acre";"2017";"Fevereiro";"1"
"África";"África do Sul";"Acre";"2017";"Março";"0"
"África";"África do Sul";"Acre";"2017";"Abril";"0"
"África";"África do Sul";"Acre";"2017";"Maio";"1"
"África";"África do Sul";"Acre";"2017";"Junho";"1"
"África";"África do Sul";"Acre";"2017";"Julho";"1"
"África";"África do Sul";"Acre";"2017";"Agosto";"1"
"África";"África do Sul";"Acre";"2017";"Setembro";"0"
"África";"África do Sul";"Acre";"2017";"Outubro";"0"
"África";"África do Sul";"Acre";"2017";"Novembro";"0"
"África";"África do Sul";"Acre";"2017";"Dezembro";"0"
"África";"África do Sul";"Amapá";"2017";"Janeiro";"1"
"África";"África do Sul";"Amapá";"2017";"Fevereiro";"1"
"África";"África do Sul";"Amapá";"2017";"Março";"0"
"África";"África do Sul";"Amapá";"2017";"Abril";"0"
"África";"África do Sul";"Amapá";"2017";"Maio";"0"
"África";"África do Sul";"Amapá";"2017";"Junho";"2"
"África";"África do Sul";"Amapá";"2017";"Julho";"0"
"África";"África do Sul";"Amapá";"2017";"Agosto";"0"
"África";"África do Sul";"Amapá";"2017";"Setembro";"0"
"África";"África do Sul";"Amapá";"2017";"Outubro";"0"
"África";"África do Sul";"Amapá";"2017";"Novembro";"0"
"África";"África do Sul";"Amapá";"2017";"Dezembro";"0"
"África";"África do Sul";"Amazonas";"2017";"Janeiro";"3"
"África";"África do Sul";"Amazonas";"2017";"Fevereiro";"1"
"África";"África do Sul";"Amazonas";"2017";"Março";"3"
"África";"África do Sul";"Amazonas";"2017";"Abril";"2"
"África";"África do Sul";"Amazonas";"2017";"Maio";"3"
"África";"África do Sul";"Amazonas";"2017";"Junho";"0"
"África";"África do Sul";"Amazonas";"2017";"Julho";"1"
"África";"África do Sul";"Amazonas";"2017";"Agosto";"5"
"África";"África do Sul";"Amazonas";"2017";"Setembro";"3"
"África";"África do Sul";"Amazonas";"2017";"Outubro";"5"
"África";"África do Sul";"Amazonas";"2017";"Novembro";"0"
"África";"África do Sul";"Amazonas";"2017";"Dezembro";"0"
"África";"África do Sul";"Bahia";"2017";"Janeiro";"1"
"África";"África do Sul";"Bahia";"2017";"Fevereiro";"0"
"África";"África do Sul";"Bahia";"2017";"Março";"0"
"África";"África do Sul";"Bahia";"2017";"Abril";"3"
"África";"África do Sul";"Bahia";"2017";"Maio";"1"
"África";"África do Sul";"Bahia";"2017";"Junho";"0"
"África";"África do Sul";"Bahia";"2017";"Julho";"0"
"África";"África do Sul";"Bahia";"2017";"Agosto";"0"
"África";"África do Sul";"Bahia";"2017";"Setembro";"1"
"África";"África do Sul";"Bahia";"2017";"Outubro";"0"
"África";"África do Sul";"Bahia";"2017";"Novembro";"4"
"África";"África do Sul";"Bahia";"2017";"Dezembro";"0"
"África";"África do Sul";"Ceará";"2017";"Janeiro";"0"
"África";"África do Sul";"Ceará";"2017";"Fevereiro";"0"
"África";"África do Sul";"Ceará";"2017";"Março";"0"
"África";"África do Sul";"Ceará";"2017";"Abril";"2"
"África";"África do Sul";"Ceará";"2017";"Maio";"5"
"África";"África do Sul";"Ceará";"2017";"Junho";"2"
"África";"África do Sul";"Ceará";"2017";"Julho";"1"
"África";"África do Sul";"Ceará";"2017";"Agosto";"1"
"África";"África do Sul";"Ceará";"2017";"Setembro";"1"
"África";"África do Sul";"Ceará";"2017";"Outubro";"3"
"África";"África do Sul";"Ceará";"2017";"Novembro";"0"
"África";"África do Sul";"Ceará";"2017";"Dezembro";"0"
"África";"África do Sul";"Distrito Federal";"2017";"Janeiro";"3"
"África";"África do Sul";"Distrito Federal";"2017";"Fevereiro";"0"
"África";"África do Sul";"Distrito Federal";"2017";"Março";"3"
"África";"África do Sul";"Distrito Federal";"2017";"Abril";"0"
"África";"África do Sul";"Distrito Federal";"2017";"Maio";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Junho";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Julho";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Agosto";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Setembro";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Outubro";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Novembro";"2"
"África";"África do Sul";"Distrito Federal";"2017";"Dezembro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Janeiro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Março";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Maio";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Junho";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Julho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Agosto";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Setembro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Outubro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Novembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2017";"Dezembro";"0"
"África";"África do Sul";"Minas Gerais";"2017";"Janeiro";"1"
"África";"África do Sul";"Minas Gerais";"2017";"Fevereiro";"0"
"África";"África do Sul";"Minas Gerais";"2017";"Março";"2"
"África";"África do Sul";"Minas Gerais";"2017";"Abril";"0"
"África";"África do Sul";"Minas Gerais";"2017";"Maio";"1"
"África";"África do Sul";"Minas Gerais";"2017";"Junho";"1"
"África";"África do Sul";"Minas Gerais";"2017";"Julho";"5"
"África";"África do Sul";"Minas Gerais";"2017";"Agosto";"3"
"África";"África do Sul";"Minas Gerais";"2017";"Setembro";"3"
"África";"África do Sul";"Minas Gerais";"2017";"Outubro";"3"
"África";"África do Sul";"Minas Gerais";"2017";"Novembro";"4"
"África";"África do Sul";"Minas Gerais";"2017";"Dezembro";"6"
"África";"África do Sul";"Pará";"2017";"Janeiro";"2"
"África";"África do Sul";"Pará";"2017";"Fevereiro";"4"
"África";"África do Sul";"Pará";"2017";"Março";"2"
"África";"África do Sul";"Pará";"2017";"Abril";"3"
"África";"África do Sul";"Pará";"2017";"Maio";"0"
"África";"África do Sul";"Pará";"2017";"Junho";"0"
"África";"África do Sul";"Pará";"2017";"Julho";"4"
"África";"África do Sul";"Pará";"2017";"Agosto";"4"
"África";"África do Sul";"Pará";"2017";"Setembro";"4"
"África";"África do Sul";"Pará";"2017";"Outubro";"3"
