"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Paraná";"2011";"Abril";"91"
"África";"África do Sul";"Paraná";"2011";"Maio";"48"
"África";"África do Sul";"Paraná";"2011";"Junho";"33"
"África";"África do Sul";"Paraná";"2011";"Julho";"48"
"África";"África do Sul";"Paraná";"2011";"Agosto";"36"
"África";"África do Sul";"Paraná";"2011";"Setembro";"62"
"África";"África do Sul";"Paraná";"2011";"Outubro";"82"
"África";"África do Sul";"Paraná";"2011";"Novembro";"60"
"África";"África do Sul";"Paraná";"2011";"Dezembro";"236"
"África";"África do Sul";"Pernambuco";"2011";"Janeiro";"0"
"África";"África do Sul";"Pernambuco";"2011";"Fevereiro";"4"
"África";"África do Sul";"Pernambuco";"2011";"Março";"8"
"África";"África do Sul";"Pernambuco";"2011";"Abril";"8"
"África";"África do Sul";"Pernambuco";"2011";"Maio";"5"
"África";"África do Sul";"Pernambuco";"2011";"Junho";"1"
"África";"África do Sul";"Pernambuco";"2011";"Julho";"4"
"África";"África do Sul";"Pernambuco";"2011";"Agosto";"9"
"África";"África do Sul";"Pernambuco";"2011";"Setembro";"1"
"África";"África do Sul";"Pernambuco";"2011";"Outubro";"1"
"África";"África do Sul";"Pernambuco";"2011";"Novembro";"12"
"África";"África do Sul";"Pernambuco";"2011";"Dezembro";"31"
"África";"África do Sul";"Rio de Janeiro";"2011";"Janeiro";"127"
"África";"África do Sul";"Rio de Janeiro";"2011";"Fevereiro";"158"
"África";"África do Sul";"Rio de Janeiro";"2011";"Março";"126"
"África";"África do Sul";"Rio de Janeiro";"2011";"Abril";"183"
"África";"África do Sul";"Rio de Janeiro";"2011";"Maio";"113"
"África";"África do Sul";"Rio de Janeiro";"2011";"Junho";"86"
"África";"África do Sul";"Rio de Janeiro";"2011";"Julho";"174"
"África";"África do Sul";"Rio de Janeiro";"2011";"Agosto";"87"
"África";"África do Sul";"Rio de Janeiro";"2011";"Setembro";"117"
"África";"África do Sul";"Rio de Janeiro";"2011";"Outubro";"122"
"África";"África do Sul";"Rio de Janeiro";"2011";"Novembro";"134"
"África";"África do Sul";"Rio de Janeiro";"2011";"Dezembro";"360"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Janeiro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Fevereiro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Março";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Abril";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Maio";"5"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Junho";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Julho";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Agosto";"1"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Setembro";"1"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Outubro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Novembro";"0"
"África";"África do Sul";"Rio Grande do Norte";"2011";"Dezembro";"2"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Janeiro";"13"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Fevereiro";"13"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Março";"35"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Abril";"7"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Maio";"15"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Junho";"33"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Julho";"21"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Agosto";"22"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Setembro";"6"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Outubro";"52"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Novembro";"32"
"África";"África do Sul";"Rio Grande do Sul";"2011";"Dezembro";"25"
"África";"África do Sul";"Santa Catarina";"2011";"Janeiro";"3"
"África";"África do Sul";"Santa Catarina";"2011";"Fevereiro";"14"
"África";"África do Sul";"Santa Catarina";"2011";"Março";"2"
"África";"África do Sul";"Santa Catarina";"2011";"Abril";"3"
"África";"África do Sul";"Santa Catarina";"2011";"Maio";"3"
"África";"África do Sul";"Santa Catarina";"2011";"Junho";"2"
"África";"África do Sul";"Santa Catarina";"2011";"Julho";"0"
"África";"África do Sul";"Santa Catarina";"2011";"Agosto";"3"
"África";"África do Sul";"Santa Catarina";"2011";"Setembro";"0"
"África";"África do Sul";"Santa Catarina";"2011";"Outubro";"0"
"África";"África do Sul";"Santa Catarina";"2011";"Novembro";"6"
"África";"África do Sul";"Santa Catarina";"2011";"Dezembro";"4"
"África";"África do Sul";"São Paulo";"2011";"Janeiro";"951"
"África";"África do Sul";"São Paulo";"2011";"Fevereiro";"1.179"
"África";"África do Sul";"São Paulo";"2011";"Março";"1.749"
"África";"África do Sul";"São Paulo";"2011";"Abril";"1.973"
"África";"África do Sul";"São Paulo";"2011";"Maio";"1.466"
"África";"África do Sul";"São Paulo";"2011";"Junho";"1.324"
"África";"África do Sul";"São Paulo";"2011";"Julho";"1.440"
"África";"África do Sul";"São Paulo";"2011";"Agosto";"1.412"
"África";"África do Sul";"São Paulo";"2011";"Setembro";"1.471"
"África";"África do Sul";"São Paulo";"2011";"Outubro";"1.739"
"África";"África do Sul";"São Paulo";"2011";"Novembro";"2.034"
"África";"África do Sul";"São Paulo";"2011";"Dezembro";"2.512"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Janeiro";"9"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Fevereiro";"2"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Março";"2"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Abril";"0"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Maio";"0"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Junho";"0"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Julho";"3"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Agosto";"1"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Setembro";"1"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Outubro";"0"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Novembro";"2"
"África";"África do Sul";"Outras Unidades da Federação";"2011";"Dezembro";"2"
"África";"Angola";"Amazonas";"2011";"Janeiro";"2"
"África";"Angola";"Amazonas";"2011";"Fevereiro";"6"
