"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Acre";"2016";"Janeiro";"1"
"África";"África do Sul";"Acre";"2016";"Fevereiro";"0"
"África";"África do Sul";"Acre";"2016";"Março";"1"
"África";"África do Sul";"Acre";"2016";"Abril";"1"
"África";"África do Sul";"Acre";"2016";"Maio";"0"
"África";"África do Sul";"Acre";"2016";"Junho";"3"
"África";"África do Sul";"Acre";"2016";"Julho";"2"
"África";"África do Sul";"Acre";"2016";"Agosto";"0"
"África";"África do Sul";"Acre";"2016";"Setembro";"1"
"África";"África do Sul";"Acre";"2016";"Outubro";"0"
"África";"África do Sul";"Acre";"2016";"Novembro";"1"
"África";"África do Sul";"Acre";"2016";"Dezembro";"4"
"África";"África do Sul";"Amapá";"2016";"Janeiro";"0"
"África";"África do Sul";"Amapá";"2016";"Fevereiro";"3"
"África";"África do Sul";"Amapá";"2016";"Março";"0"
"África";"África do Sul";"Amapá";"2016";"Abril";"0"
"África";"África do Sul";"Amapá";"2016";"Maio";"0"
"África";"África do Sul";"Amapá";"2016";"Junho";"0"
"África";"África do Sul";"Amapá";"2016";"Julho";"0"
"África";"África do Sul";"Amapá";"2016";"Agosto";"0"
"África";"África do Sul";"Amapá";"2016";"Setembro";"0"
"África";"África do Sul";"Amapá";"2016";"Outubro";"0"
"África";"África do Sul";"Amapá";"2016";"Novembro";"1"
"África";"África do Sul";"Amapá";"2016";"Dezembro";"0"
"África";"África do Sul";"Amazonas";"2016";"Janeiro";"2"
"África";"África do Sul";"Amazonas";"2016";"Fevereiro";"3"
"África";"África do Sul";"Amazonas";"2016";"Março";"2"
"África";"África do Sul";"Amazonas";"2016";"Abril";"1"
"África";"África do Sul";"Amazonas";"2016";"Maio";"2"
"África";"África do Sul";"Amazonas";"2016";"Junho";"6"
"África";"África do Sul";"Amazonas";"2016";"Julho";"11"
"África";"África do Sul";"Amazonas";"2016";"Agosto";"4"
"África";"África do Sul";"Amazonas";"2016";"Setembro";"5"
"África";"África do Sul";"Amazonas";"2016";"Outubro";"3"
"África";"África do Sul";"Amazonas";"2016";"Novembro";"8"
"África";"África do Sul";"Amazonas";"2016";"Dezembro";"6"
"África";"África do Sul";"Bahia";"2016";"Janeiro";"3"
"África";"África do Sul";"Bahia";"2016";"Fevereiro";"2"
"África";"África do Sul";"Bahia";"2016";"Março";"2"
"África";"África do Sul";"Bahia";"2016";"Abril";"1"
"África";"África do Sul";"Bahia";"2016";"Maio";"0"
"África";"África do Sul";"Bahia";"2016";"Junho";"0"
"África";"África do Sul";"Bahia";"2016";"Julho";"0"
"África";"África do Sul";"Bahia";"2016";"Agosto";"1"
"África";"África do Sul";"Bahia";"2016";"Setembro";"1"
"África";"África do Sul";"Bahia";"2016";"Outubro";"0"
