"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2009";"Janeiro";"8"
"África";"África do Sul";"Amazonas";"2009";"Fevereiro";"0"
"África";"África do Sul";"Amazonas";"2009";"Março";"1"
"África";"África do Sul";"Amazonas";"2009";"Abril";"1"
"África";"África do Sul";"Amazonas";"2009";"Maio";"2"
"África";"África do Sul";"Amazonas";"2009";"Junho";"1"
"África";"África do Sul";"Amazonas";"2009";"Julho";"1"
"África";"África do Sul";"Amazonas";"2009";"Agosto";"0"
"África";"África do Sul";"Amazonas";"2009";"Setembro";"5"
"África";"África do Sul";"Amazonas";"2009";"Outubro";"2"
"África";"África do Sul";"Amazonas";"2009";"Novembro";"2"
"África";"África do Sul";"Amazonas";"2009";"Dezembro";"0"
"África";"África do Sul";"Bahia";"2009";"Janeiro";"7"
"África";"África do Sul";"Bahia";"2009";"Fevereiro";"5"
"África";"África do Sul";"Bahia";"2009";"Março";"7"
"África";"África do Sul";"Bahia";"2009";"Abril";"0"
"África";"África do Sul";"Bahia";"2009";"Maio";"1"
"África";"África do Sul";"Bahia";"2009";"Junho";"1"
"África";"África do Sul";"Bahia";"2009";"Julho";"1"
"África";"África do Sul";"Bahia";"2009";"Agosto";"5"
"África";"África do Sul";"Bahia";"2009";"Setembro";"0"
"África";"África do Sul";"Bahia";"2009";"Outubro";"7"
"África";"África do Sul";"Bahia";"2009";"Novembro";"1"
"África";"África do Sul";"Bahia";"2009";"Dezembro";"3"
"África";"África do Sul";"Ceará";"2009";"Janeiro";"3"
"África";"África do Sul";"Ceará";"2009";"Fevereiro";"8"
"África";"África do Sul";"Ceará";"2009";"Março";"2"
"África";"África do Sul";"Ceará";"2009";"Abril";"7"
"África";"África do Sul";"Ceará";"2009";"Maio";"12"
"África";"África do Sul";"Ceará";"2009";"Junho";"12"
"África";"África do Sul";"Ceará";"2009";"Julho";"6"
"África";"África do Sul";"Ceará";"2009";"Agosto";"9"
"África";"África do Sul";"Ceará";"2009";"Setembro";"3"
"África";"África do Sul";"Ceará";"2009";"Outubro";"2"
"África";"África do Sul";"Ceará";"2009";"Novembro";"0"
"África";"África do Sul";"Ceará";"2009";"Dezembro";"3"
"África";"África do Sul";"Distrito Federal";"2009";"Janeiro";"5"
"África";"África do Sul";"Distrito Federal";"2009";"Fevereiro";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Março";"1"
"África";"África do Sul";"Distrito Federal";"2009";"Abril";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Maio";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Junho";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Julho";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Agosto";"1"
"África";"África do Sul";"Distrito Federal";"2009";"Setembro";"10"
"África";"África do Sul";"Distrito Federal";"2009";"Outubro";"14"
"África";"África do Sul";"Distrito Federal";"2009";"Novembro";"0"
"África";"África do Sul";"Distrito Federal";"2009";"Dezembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Janeiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Março";"11"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Maio";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Junho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Julho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Agosto";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Setembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Outubro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Novembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2009";"Dezembro";"0"
"África";"África do Sul";"Minas Gerais";"2009";"Janeiro";"5"
"África";"África do Sul";"Minas Gerais";"2009";"Fevereiro";"3"
"África";"África do Sul";"Minas Gerais";"2009";"Março";"5"
"África";"África do Sul";"Minas Gerais";"2009";"Abril";"2"
"África";"África do Sul";"Minas Gerais";"2009";"Maio";"0"
"África";"África do Sul";"Minas Gerais";"2009";"Junho";"1"
"África";"África do Sul";"Minas Gerais";"2009";"Julho";"0"
"África";"África do Sul";"Minas Gerais";"2009";"Agosto";"1"
"África";"África do Sul";"Minas Gerais";"2009";"Setembro";"2"
"África";"África do Sul";"Minas Gerais";"2009";"Outubro";"3"
"África";"África do Sul";"Minas Gerais";"2009";"Novembro";"2"
"África";"África do Sul";"Minas Gerais";"2009";"Dezembro";"0"
"África";"África do Sul";"Pará";"2009";"Janeiro";"8"
"África";"África do Sul";"Pará";"2009";"Fevereiro";"9"
"África";"África do Sul";"Pará";"2009";"Março";"0"
"África";"África do Sul";"Pará";"2009";"Abril";"1"
"África";"África do Sul";"Pará";"2009";"Maio";"0"
"África";"África do Sul";"Pará";"2009";"Junho";"1"
"África";"África do Sul";"Pará";"2009";"Julho";"9"
"África";"África do Sul";"Pará";"2009";"Agosto";"0"
"África";"África do Sul";"Pará";"2009";"Setembro";"0"
"África";"África do Sul";"Pará";"2009";"Outubro";"1"
"África";"África do Sul";"Pará";"2009";"Novembro";"0"
"África";"África do Sul";"Pará";"2009";"Dezembro";"1"
"África";"África do Sul";"Paraná";"2009";"Janeiro";"73"
"África";"África do Sul";"Paraná";"2009";"Fevereiro";"47"
"África";"África do Sul";"Paraná";"2009";"Março";"63"
"África";"África do Sul";"Paraná";"2009";"Abril";"107"
"África";"África do Sul";"Paraná";"2009";"Maio";"78"
"África";"África do Sul";"Paraná";"2009";"Junho";"85"
"África";"África do Sul";"Paraná";"2009";"Julho";"64"
"África";"África do Sul";"Paraná";"2009";"Agosto";"77"
"África";"África do Sul";"Paraná";"2009";"Setembro";"78"
"África";"África do Sul";"Paraná";"2009";"Outubro";"94"
"África";"África do Sul";"Paraná";"2009";"Novembro";"77"
"África";"África do Sul";"Paraná";"2009";"Dezembro";"221"
"África";"África do Sul";"Pernambuco";"2009";"Janeiro";"2"
"África";"África do Sul";"Pernambuco";"2009";"Fevereiro";"1"
"África";"África do Sul";"Pernambuco";"2009";"Março";"0"
"África";"África do Sul";"Pernambuco";"2009";"Abril";"1"
