"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2010";"Janeiro";"3"
"África";"África do Sul";"Amazonas";"2010";"Fevereiro";"3"
"África";"África do Sul";"Amazonas";"2010";"Março";"3"
"África";"África do Sul";"Amazonas";"2010";"Abril";"0"
"África";"África do Sul";"Amazonas";"2010";"Maio";"1"
"África";"África do Sul";"Amazonas";"2010";"Junho";"0"
"África";"África do Sul";"Amazonas";"2010";"Julho";"5"
"África";"África do Sul";"Amazonas";"2010";"Agosto";"0"
"África";"África do Sul";"Amazonas";"2010";"Setembro";"0"
"África";"África do Sul";"Amazonas";"2010";"Outubro";"0"
"África";"África do Sul";"Amazonas";"2010";"Novembro";"1"
"África";"África do Sul";"Amazonas";"2010";"Dezembro";"5"
"África";"África do Sul";"Bahia";"2010";"Janeiro";"6"
"África";"África do Sul";"Bahia";"2010";"Fevereiro";"3"
"África";"África do Sul";"Bahia";"2010";"Março";"13"
"África";"África do Sul";"Bahia";"2010";"Abril";"4"
"África";"África do Sul";"Bahia";"2010";"Maio";"1"
"África";"África do Sul";"Bahia";"2010";"Junho";"11"
"África";"África do Sul";"Bahia";"2010";"Julho";"0"
"África";"África do Sul";"Bahia";"2010";"Agosto";"3"
"África";"África do Sul";"Bahia";"2010";"Setembro";"5"
"África";"África do Sul";"Bahia";"2010";"Outubro";"12"
"África";"África do Sul";"Bahia";"2010";"Novembro";"2"
"África";"África do Sul";"Bahia";"2010";"Dezembro";"10"
"África";"África do Sul";"Ceará";"2010";"Janeiro";"4"
"África";"África do Sul";"Ceará";"2010";"Fevereiro";"4"
"África";"África do Sul";"Ceará";"2010";"Março";"18"
"África";"África do Sul";"Ceará";"2010";"Abril";"1"
"África";"África do Sul";"Ceará";"2010";"Maio";"0"
"África";"África do Sul";"Ceará";"2010";"Junho";"6"
"África";"África do Sul";"Ceará";"2010";"Julho";"6"
"África";"África do Sul";"Ceará";"2010";"Agosto";"6"
"África";"África do Sul";"Ceará";"2010";"Setembro";"9"
"África";"África do Sul";"Ceará";"2010";"Outubro";"3"
"África";"África do Sul";"Ceará";"2010";"Novembro";"3"
